config_id,repeat_id,bit_width_px,sigma_blur_ratio,noise_sigma_adu,filter_order,n_trials,n_trials_ok,n_trials_failed,sigma,accuracy,status,error_text
0,0,5.0,0.05,0,2,3,3,0,0.05540786184428743,100.0,ok,
0,1,5.0,0.05,0,2,3,3,0,0.036468869754840726,100.0,ok,
0,2,5.0,0.05,0,2,3,3,0,0.052749049966777345,100.0,ok,
0,3,5.0,0.05,0,2,3,3,0,0.07806548398009797,100.0,ok,
0,4,5.0,0.05,0,2,3,3,0,0.04592287303699256,100.0,ok,
0,5,5.0,0.05,0,2,3,3,0,0.042221607595010334,100.0,ok,
0,6,5.0,0.05,0,2,3,3,0,0.04298401744132299,100.0,ok,
0,7,5.0,0.05,0,2,3,3,0,0.062416462109086975,100.0,ok,
0,8,5.0,0.05,0,2,3,3,0,0.05889462855822609,100.0,ok,
0,9,5.0,0.05,0,2,3,3,0,0.04810686365186493,100.0,ok,
1,0,5.0,0.05,0,4,3,3,0,0.5460390867051002,100.0,ok,
1,1,5.0,0.05,0,4,3,3,0,0.5606462896798918,100.0,ok,
1,2,5.0,0.05,0,4,3,3,0,0.6636118176026823,96.42857142857143,ok,
1,3,5.0,0.05,0,4,3,3,0,0.6331047104031522,100.0,ok,
1,4,5.0,0.05,0,4,3,3,0,0.5651730793465461,100.0,ok,
1,5,5.0,0.05,0,4,3,3,0,0.6493473237894972,100.0,ok,
1,6,5.0,0.05,0,4,3,3,0,0.5905080113407775,100.0,ok,
1,7,5.0,0.05,0,4,3,3,0,0.6205925927595493,100.0,ok,
1,8,5.0,0.05,0,4,3,3,0,0.6254871989175542,100.0,ok,
1,9,5.0,0.05,0,4,3,3,0,0.46545118876921676,100.0,ok,
2,0,5.0,0.05,50,2,3,3,0,0.060838868989150176,100.0,ok,
2,1,5.0,0.05,50,2,3,3,0,0.052894390036637325,100.0,ok,
2,2,5.0,0.05,50,2,3,3,0,0.06467488780081038,100.0,ok,
2,3,5.0,0.05,50,2,3,3,0,0.0832979297246559,100.0,ok,
2,4,5.0,0.05,50,2,3,3,0,0.05719467861917992,100.0,ok,
2,5,5.0,0.05,50,2,3,3,0,0.04871376845557635,100.0,ok,
2,6,5.0,0.05,50,2,3,3,0,0.047073477380404856,100.0,ok,
2,7,5.0,0.05,50,2,3,3,0,0.06829963878797403,100.0,ok,
2,8,5.0,0.05,50,2,3,3,0,0.060832820698574964,100.0,ok,
2,9,5.0,0.05,50,2,3,3,0,0.030427020741463886,100.0,ok,
3,0,5.0,0.05,50,4,3,3,0,0.5569287893222526,100.0,ok,
3,1,5.0,0.05,50,4,3,3,0,0.5558996998196709,100.0,ok,
3,2,5.0,0.05,50,4,3,3,0,0.6651918720211824,96.42857142857143,ok,
3,3,5.0,0.05,50,4,3,3,0,0.6392394875954102,100.0,ok,
3,4,5.0,0.05,50,4,3,3,0,0.5576655756194074,100.0,ok,
3,5,5.0,0.05,50,4,3,3,0,0.647804498536075,100.0,ok,
3,6,5.0,0.05,50,4,3,3,0,0.5882402096183285,100.0,ok,
3,7,5.0,0.05,50,4,3,3,0,0.618494333995114,100.0,ok,
3,8,5.0,0.05,50,4,3,3,0,0.6135202465472144,100.0,ok,
3,9,5.0,0.05,50,4,3,3,0,0.4542553865362858,100.0,ok,
4,0,5.0,0.05,100,2,3,3,0,0.0670076077654057,100.0,ok,
4,1,5.0,0.05,100,2,3,3,0,0.06875794445342825,100.0,ok,
4,2,5.0,0.05,100,2,3,3,0,0.0617132282324934,100.0,ok,
4,3,5.0,0.05,100,2,3,3,0,0.07995736746427655,100.0,ok,
4,4,5.0,0.05,100,2,3,3,0,0.06462392304953773,100.0,ok,
4,5,5.0,0.05,100,2,3,3,0,0.06100263067602315,100.0,ok,
4,6,5.0,0.05,100,2,3,3,0,0.063296604573872,100.0,ok,
4,7,5.0,0.05,100,2,3,3,0,0.06712966326053448,100.0,ok,
4,8,5.0,0.05,100,2,3,3,0,0.06345194008117648,100.0,ok,
4,9,5.0,0.05,100,2,3,3,0,0.057700893533324284,100.0,ok,
5,0,5.0,0.05,100,4,3,3,0,0.5675189247028559,100.0,ok,
5,1,5.0,0.05,100,4,3,3,0,0.5566736081399846,100.0,ok,
5,2,5.0,0.05,100,4,3,3,0,0.658003723732191,96.42857142857143,ok,
5,3,5.0,0.05,100,4,3,3,0,0.6429216657003787,100.0,ok,
5,4,5.0,0.05,100,4,3,3,0,0.5550621334878284,100.0,ok,
5,5,5.0,0.05,100,4,3,3,0,0.6446090033734225,100.0,ok,
5,6,5.0,0.05,100,4,3,3,0,0.580835004042952,100.0,ok,
5,7,5.0,0.05,100,4,3,3,0,0.6253848702674439,100.0,ok,
5,8,5.0,0.05,100,4,3,3,0,0.614906968679173,100.0,ok,
5,9,5.0,0.05,100,4,3,3,0,0.45683519158702074,100.0,ok,
6,0,5.0,0.05,150,2,3,3,0,0.07265983279985379,100.0,ok,
6,1,5.0,0.05,150,2,3,3,0,0.0895837813086432,100.0,ok,
6,2,5.0,0.05,150,2,3,3,0,0.062386775327820755,100.0,ok,
6,3,5.0,0.05,150,2,3,3,0,0.08589390127766446,100.0,ok,
6,4,5.0,0.05,150,2,3,3,0,0.080096877899134,100.0,ok,
6,5,5.0,0.05,150,2,3,3,0,0.06242649552466752,100.0,ok,
6,6,5.0,0.05,150,2,3,3,0,0.0728151021628858,100.0,ok,
6,7,5.0,0.05,150,2,3,3,0,0.07637934070473096,100.0,ok,
6,8,5.0,0.05,150,2,3,3,0,0.07569717571185092,100.0,ok,
6,9,5.0,0.05,150,2,3,3,0,0.06438492750037177,100.0,ok,
7,0,5.0,0.05,150,4,3,3,0,0.5653715897404492,100.0,ok,
7,1,5.0,0.05,150,4,3,3,0,0.5644141162965933,100.0,ok,
7,2,5.0,0.05,150,4,3,3,0,0.65595647144472,96.42857142857143,ok,
7,3,5.0,0.05,150,4,3,3,0,0.6364652888464778,100.0,ok,
7,4,5.0,0.05,150,4,3,3,0,0.5524001015812413,100.0,ok,
7,5,5.0,0.05,150,4,3,3,0,0.6483381819970672,100.0,ok,
7,6,5.0,0.05,150,4,3,3,0,0.5874872154719445,100.0,ok,
7,7,5.0,0.05,150,4,3,3,0,0.6246742025835371,100.0,ok,
7,8,5.0,0.05,150,4,3,3,0,0.6176931345425364,100.0,ok,
7,9,5.0,0.05,150,4,3,3,0,0.4431504185652528,100.0,ok,
8,0,5.0,0.05,200,2,3,3,0,0.08499777980154755,100.0,ok,
8,1,5.0,0.05,200,2,3,3,0,0.1026899790086661,100.0,ok,
8,2,5.0,0.05,200,2,3,3,0,0.06828787932637655,100.0,ok,
8,3,5.0,0.05,200,2,3,3,0,0.08900818269426782,100.0,ok,
8,4,5.0,0.05,200,2,3,3,0,0.08946804934513213,100.0,ok,
8,5,5.0,0.05,200,2,3,3,0,0.07007499003442673,100.0,ok,
8,6,5.0,0.05,200,2,3,3,0,0.08811407551145715,100.0,ok,
8,7,5.0,0.05,200,2,3,3,0,0.07761988403278905,100.0,ok,
8,8,5.0,0.05,200,2,3,3,0,0.07128273832495018,100.0,ok,
8,9,5.0,0.05,200,2,3,3,0,0.06218016401582079,100.0,ok,
9,0,5.0,0.05,200,4,3,3,0,0.5789154789307839,100.0,ok,
9,1,5.0,0.05,200,4,3,3,0,0.5624977013007889,100.0,ok,
9,2,5.0,0.05,200,4,3,3,0,0.6627267776596738,96.42857142857143,ok,
9,3,5.0,0.05,200,4,3,3,0,0.634401380961592,100.0,ok,
9,4,5.0,0.05,200,4,3,3,0,0.5448090780629488,100.0,ok,
9,5,5.0,0.05,200,4,3,3,0,0.6484552845800582,100.0,ok,
9,6,5.0,0.05,200,4,3,3,0,0.5896515103086197,100.0,ok,
9,7,5.0,0.05,200,4,3,3,0,0.6259129241327139,100.0,ok,
9,8,5.0,0.05,200,4,3,3,0,0.6078016283480813,100.0,ok,
9,9,5.0,0.05,200,4,3,3,0,0.456748027527226,100.0,ok,
10,0,5.0,0.05,250,2,3,3,0,0.10175641181571819,100.0,ok,
10,1,5.0,0.05,250,2,3,3,0,0.12125579713171113,100.0,ok,
10,2,5.0,0.05,250,2,3,3,0,0.07793619415288379,100.0,ok,
10,3,5.0,0.05,250,2,3,3,0,0.10492301789260712,100.0,ok,
10,4,5.0,0.05,250,2,3,3,0,0.10284910537557994,100.0,ok,
10,5,5.0,0.05,250,2,3,3,0,0.08313262799042569,100.0,ok,
10,6,5.0,0.05,250,2,3,3,0,0.10414487733785038,100.0,ok,
10,7,5.0,0.05,250,2,3,3,0,0.09154037238569378,100.0,ok,
10,8,5.0,0.05,250,2,3,3,0,0.08714521415882397,100.0,ok,
10,9,5.0,0.05,250,2,3,3,0,0.07593318872066886,100.0,ok,
11,0,5.0,0.05,250,4,3,3,0,0.5799264996037916,100.0,ok,
11,1,5.0,0.05,250,4,3,3,0,0.5599671837230679,100.0,ok,
11,2,5.0,0.05,250,4,3,3,0,0.6549615631854083,96.42857142857143,ok,
11,3,5.0,0.05,250,4,3,3,0,0.6181495623335506,100.0,ok,
11,4,5.0,0.05,250,4,3,3,0,0.5497161748060241,100.0,ok,
11,5,5.0,0.05,250,4,3,3,0,0.6510036584019588,100.0,ok,
11,6,5.0,0.05,250,4,3,3,0,0.5921400811539917,100.0,ok,
11,7,5.0,0.05,250,4,3,3,0,0.6298773066173574,100.0,ok,
11,8,5.0,0.05,250,4,3,3,0,0.607803399517591,100.0,ok,
11,9,5.0,0.05,250,4,3,3,0,0.44668857489177477,100.0,ok,
12,0,5.0,0.06,0,2,3,3,0,0.054650439753686116,100.0,ok,
12,1,5.0,0.06,0,2,3,3,0,0.04556399820286192,100.0,ok,
12,2,5.0,0.06,0,2,3,3,0,0.05946867491062619,100.0,ok,
12,3,5.0,0.06,0,2,3,3,0,0.06781169728472344,100.0,ok,
12,4,5.0,0.06,0,2,3,3,0,0.03874657638744874,100.0,ok,
12,5,5.0,0.06,0,2,3,3,0,0.04737943092388513,100.0,ok,
12,6,5.0,0.06,0,2,3,3,0,0.050823902264634985,100.0,ok,
12,7,5.0,0.06,0,2,3,3,0,0.06899465211969592,100.0,ok,
12,8,5.0,0.06,0,2,3,3,0,0.06249418666568115,100.0,ok,
12,9,5.0,0.06,0,2,3,3,0,0.04880507587371511,100.0,ok,
13,0,5.0,0.06,0,4,3,3,0,0.555573792426764,100.0,ok,
13,1,5.0,0.06,0,4,3,3,0,0.5631392175183961,100.0,ok,
13,2,5.0,0.06,0,4,3,3,0,0.6714315135780611,96.42857142857143,ok,
13,3,5.0,0.06,0,4,3,3,0,0.6451034360648841,100.0,ok,
13,4,5.0,0.06,0,4,3,3,0,0.5655078476658324,100.0,ok,
13,5,5.0,0.06,0,4,3,3,0,0.6516916674724079,100.0,ok,
13,6,5.0,0.06,0,4,3,3,0,0.5889266328197881,100.0,ok,
13,7,5.0,0.06,0,4,3,3,0,0.6279195956305372,100.0,ok,
13,8,5.0,0.06,0,4,3,3,0,0.6220763808444142,100.0,ok,
13,9,5.0,0.06,0,4,3,3,0,0.45711441319165563,100.0,ok,
14,0,5.0,0.06,50,2,3,3,0,0.061637692316442665,100.0,ok,
14,1,5.0,0.06,50,2,3,3,0,0.04984215130235627,100.0,ok,
14,2,5.0,0.06,50,2,3,3,0,0.05567965362101973,100.0,ok,
14,3,5.0,0.06,50,2,3,3,0,0.07716581033312997,100.0,ok,
14,4,5.0,0.06,50,2,3,3,0,0.04998559537224414,100.0,ok,
14,5,5.0,0.06,50,2,3,3,0,0.043896839042085224,100.0,ok,
14,6,5.0,0.06,50,2,3,3,0,0.04868819073512837,100.0,ok,
14,7,5.0,0.06,50,2,3,3,0,0.06269028254456903,100.0,ok,
14,8,5.0,0.06,50,2,3,3,0,0.06725577929377925,100.0,ok,
14,9,5.0,0.06,50,2,3,3,0,0.04631200555880716,100.0,ok,
15,0,5.0,0.06,50,4,3,3,0,0.5493174069475348,100.0,ok,
15,1,5.0,0.06,50,4,3,3,0,0.5559025155168467,100.0,ok,
15,2,5.0,0.06,50,4,3,3,0,0.661735190998792,96.42857142857143,ok,
15,3,5.0,0.06,50,4,3,3,0,0.6335315372566755,100.0,ok,
15,4,5.0,0.06,50,4,3,3,0,0.5605596122943243,100.0,ok,
15,5,5.0,0.06,50,4,3,3,0,0.6481099476558075,100.0,ok,
15,6,5.0,0.06,50,4,3,3,0,0.5903538400899442,100.0,ok,
15,7,5.0,0.06,50,4,3,3,0,0.6135038046387161,100.0,ok,
15,8,5.0,0.06,50,4,3,3,0,0.6155544929642143,100.0,ok,
