config_id,bit_width_px,sigma_blur_ratio,noise_sigma_adu,filter_order,n_repeats,n_ok_repeats,sigma_mean,sigma_std,sigma_min,sigma_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,n_trials_ok_total,n_trials_failed_total,n_failed_repeats
0,5.0,0.05,0,2,10,10,0.05232377179385074,0.012095836043707824,0.036468869754840726,0.07806548398009797,100.0,0.0,100.0,100.0,30,0,0
1,5.0,0.05,0,4,10,10,0.5919961299313967,0.0595142055062451,0.46545118876921676,0.6636118176026823,99.64285714285714,1.1293848786315617,96.42857142857143,100.0,30,0,0
2,5.0,0.05,50,2,10,10,0.05742474812344278,0.014126432322155718,0.030427020741463886,0.0832979297246559,100.0,0.0,100.0,100.0,30,0,0
3,5.0,0.05,50,4,10,10,0.5897240099610941,0.06192811205554031,0.4542553865362858,0.6651918720211824,99.64285714285714,1.1293848786315617,96.42857142857143,100.0,30,0,0
4,5.0,0.05,100,2,10,10,0.0654641803090072,0.0060530485768673795,0.057700893533324284,0.07995736746427655,100.0,0.0,100.0,100.0,30,0,0
5,5.0,0.05,100,4,10,10,0.5902751093713251,0.0604911441454736,0.45683519158702074,0.658003723732191,99.64285714285714,1.1293848786315617,96.42857142857143,100.0,30,0,0
6,5.0,0.05,150,2,10,10,0.07423242102176232,0.00939240333210726,0.062386775327820755,0.0895837813086432,100.0,0.0,100.0,100.0,30,0,0
7,5.0,0.05,150,4,10,10,0.589595072106982,0.0633563599218301,0.4431504185652528,0.65595647144472,99.64285714285714,1.1293848786315617,96.42857142857143,100.0,30,0,0
8,5.0,0.05,200,2,10,10,0.08037237220954341,0.012516378718910736,0.06218016401582079,0.1026899790086661,100.0,0.0,100.0,100.0,30,0,0
9,5.0,0.05,200,4,10,10,0.5911919791812487,0.06050508439871139,0.456748027527226,0.6627267776596738,99.64285714285714,1.1293848786315617,96.42857142857143,100.0,30,0,0
10,5.0,0.05,250,2,10,10,0.09506168069619628,0.014329066899853702,0.07593318872066886,0.12125579713171113,100.0,0.0,100.0,100.0,30,0,0
11,5.0,0.05,250,4,10,10,0.5890234004234516,0.06128299436902449,0.44668857489177477,0.6549615631854083,99.64285714285714,1.1293848786315617,96.42857142857143,100.0,30,0,0
